TIMESTAMP_END,LE_F_MDS,NETRAD,H_F_MDS
2018-07-03 00:30:00,-0.946012,-59.831761,-5.02226
2018-07-03 01:00:00,-2.35658,-56.026187,-1.55648
2018-07-03 01:30:00,1.83257,-58.336162,0.652006
2018-07-03 02:00:00,0.404783,-56.286293,-0.493263
2018-07-03 02:30:00,-4.94362,-56.801736,-8.29908
2018-07-03 03:00:00,-5.55918,-66.50349,-14.5392
2018-07-03 03:30:00,-5.91387,-69.074773,-16.1533
2018-07-03 04:00:00,-6.6387,-71.824332,-23.8288
2018-07-03 04:30:00,-1.20697,-69.815051,-13.4678
2018-07-03 05:00:00,-1.43275,-58.665355,-5.55438
2018-07-03 05:30:00,2.92484,-33.925155,-8.25545
2018-07-03 06:00:00,29.1223,14.70498,-3.8482
2018-07-03 06:30:00,40.264,81.721179,22.4663
2018-07-03 07:00:00,67.4059,149.950503,45.2234
2018-07-03 07:30:00,79.4685,217.803726,74.9643
2018-07-03 08:00:00,101.306,280.024621,103.359
2018-07-03 08:30:00,98.2151,331.796764,95.3518
2018-07-03 09:00:00,119.889,402.352985,126.508
2018-07-03 09:30:00,137.468,461.727382,148.574
2018-07-03 10:00:00,140.001,515.259625,160.533
2018-07-03 10:30:00,198.569,546.722278,207.464
2018-07-03 11:00:00,166.88,561.056798,189.784
2018-07-03 11:30:00,141.43,574.879967,160.512
2018-07-03 12:00:00,183.212,582.737141,195.631
2018-07-03 12:30:00,208.909,590.45277,200.979
2018-07-03 13:00:00,210.181,584.114335,202.74
2018-07-03 13:30:00,221.84,587.466705,203.726
2018-07-03 14:00:00,245.772,559.189389,198.847
2018-07-03 14:30:00,210.608,530.216648,184.992
2018-07-03 15:00:00,173.092,489.721796,162.928
2018-07-03 15:30:00,157.018,442.623931,161.079
2018-07-03 16:00:00,144.804,384.3944,150.262
2018-07-03 16:30:00,127.196,317.653502,113.79
2018-07-03 17:00:00,133.964,240.630182,109.912
2018-07-03 17:30:00,88.4009,163.974798,63.3389
2018-07-03 18:00:00,51.5987,89.342684,26.9151
2018-07-03 18:30:00,52.8685,8.565328,-7.17819
2018-07-03 19:00:00,21.5082,-49.277781,-33.4445
2018-07-03 19:30:00,12.0531,-78.786958,-41.5995
2018-07-03 20:00:00,6.0823,-87.916307,-38.1938
2018-07-03 20:30:00,9.62903,-86.210476,-33.6703
2018-07-03 21:00:00,6.95917,-84.515934,-37.824
2018-07-03 21:30:00,4.43895,-82.829855,-29.262
2018-07-03 22:00:00,0.99263,-79.441726,-30.7244
2018-07-03 22:30:00,0.272638,-77.579654,-27.7068
2018-07-03 23:00:00,4.53092,-75.991468,-16.4724
2018-07-03 23:30:00,1.56383,-75.81571,-23.9834
2018-07-04 00:00:00,-1.60492,-76.166123,-23.566
2018-07-04 00:30:00,-0.821629,-75.172581,-23.8437
2018-07-04 01:00:00,-2.19157,-74.053286,-22.4773
2018-07-04 01:30:00,-1.74142,-71.137802,-8.69816
2018-07-04 02:00:00,-0.908713,-70.242297,-12.5733
2018-07-04 02:30:00,-1.65866,-71.123026,-10.3733
2018-07-04 03:00:00,-5.35275,-60.432445,-6.51959
