Site_ID,Latitude,Longitude,MAT,MAP,Annual_coverage,Soil_BD,Rs_annual
CN-SN-SB1,37.73,112.37,10.0,478.0,0.82,1.15,1375.92
ES-NPC-IRV,42.27,2.97,15.5,450.0,1.0,1.64,927.0
CN-YSF-CFCK,26.41666667,117.8333333,19.2,1688.0,1.0,1.1,448.0
US-COR-HEATIRG,44.02611111,-123.1822222,11.4,1134.0,1.0,0.6,1332.0
IN-CTK-CKZEA,20.44,85.93,28.0,1500.0,1.0,1.41,268.0
CN-HUN-CK,26.7925,110.79083335,17.25,1354.0,1.0,1.31,457.5
CN-SMY-SXM,38.77,110.37,8.4,437.0,0.67,1.4,582.79
CN-GS-RTONT1,37.96,102.64,7.2,156.0,1.0,1.4,355.32
CN-SHB-SH,42.5,117.35,-1.4,450.1,1.0,0.71,479.5
CN-SD-BIOCH90,36.95,117.97,12.4,600.0,1.0,1.52,1086.1
ES-NPC-SLPR,42.27,2.97,15.5,450.0,1.0,1.1,1725.0
CN-SX-CF,36.07,112.1,11.0,600.0,1.0,1.1,408.8
CN-JX-N40,26.73,115.05,17.9,1505.0,1.0,1.54,686.0
CN-HNR-NI,26.8,109.6,16.5,1200.0,1.0,1.23,338.0
CN-XLR-KRY,44.08666667,115.9044444,-1.3999999999999997,450.0,1.0,1.34,122.85000000000001
KR-WNE-SL,35.20583333,128.1733333,13.1,1490.0,1.0,1.22,1080.0
US-TAE-CLUCK,27.67,-98.2,22.4,716.0,1.0,1.27,707.0
CH-AC1,-40.17,-73.44,7.26,4860.0,1.0,0.75,765.0
UK-AHR-YR4,51.15,-0.85,9.8,808.0,1.0,0.7,1085.7
CN-DBR-80YR,23.16666667,112.5,21.0,1956.0,1.0,1.05,1242.0
CN-DBR-DIS10N,23.17,112.17,21.4,1927.0,1.0,1.16,534.0
CN-BYX-50N,43.55277778,116.6747222,-0.4,400.0,1.0,1.22,157.0
CN-BNR-QUERCUS,33.5,111.9,15.1,900.0,1.0,0.71,802.0
ES-NPC-SLPI,42.27,2.97,15.5,450.0,1.0,1.16,1294.0
BE-LOC-POP,51.1,2.85,9.5,726.0,1.0,1.48,568.9
CN-HBS-20YR,42.412,117.2474,-1.4,450.0,0.416,1.5,448.0
BE-ZWI,51.03,3.72,9.8,821.0,1.0,1.2,896.0
CN-SMY-CRO,38.77,110.37,8.4,437.0,0.67,1.39,469.26
CN-TME-GRA,37.90474444,114.2487139,13.0,560.0,1.0,1.47,602.7
CN-HFB-MFCK,28.10833333,113.0416667,17.2,1450.0,1.0,1.36,817.0
US-HET-HAK1468,19.84202778,-155.2931111,13.8,3488.0,1.0,0.18,1285.0
NO-END-DRYAS,78.0,19.0,-5.7,180.0,0.33,0.9,152.0
ES-BSL-L3FE,41.83,2.5,12.0,872.0,1.0,1.09,276.3369
PA-SAR-FORMAN,9.316666667,-79.63333333,26.0,2600.0,1.0,0.75,1287.0
IE-OPR-CRO1,52.85,-6.9,9.4,824.0,1.0,1.42,1240.0
CN-SN-SB3,37.73,112.37,10.0,478.0,0.82,1.37,1666.98
CN-SC-SMALL,31.616,103.90000000000002,8.9,900.0,1.0,0.98,506.1333333333334
US-SWP-S5,39.65,-86.23,11.3,1095.0,1.0,1.1,1300.0
CN-GS-RTONT3,37.96,102.64,7.2,156.0,1.0,1.4,328.86
CN-GS-RTONT2,37.96,102.64,7.2,156.0,1.0,1.4,291.06
CN-ESR-Q,28.26,116.93,17.6,1795.0,1.0,1.35,385.0
BE-DIF-OAKR,51.3,4.52,9.8,750.0,1.0,1.4,910.0
IN-CTK-CKORYZA,20.44,85.93,28.0,1500.0,1.0,1.41,172.0
CN-DBR-15GN,23.17,112.17,21.0,1927.0,1.0,0.98,508.0
UK-AHR-THIN9YR3,51.15,-0.85,9.8,808.0,1.0,0.7,484.4
CN-YSF-BFCCUT,26.41666667,117.8333333,19.2,1688.0,1.0,0.96,1382.0
CN-SMY-TER,38.77,110.37,8.4,437.0,0.67,1.41,514.67
CN-BTM-QAY,33.47,111.92,15.1,900.0,1.0,0.99,1105.15
CN-SSP20YR,27.03333333,118.1333333,18.7,1664.0,1.0,1.1,1007.0
IE-SWI-SP25CM,52.3,-9.16,6.6,1600.0,0.91,0.12,430.02
CN-HFB-MFDL,28.10833333,113.0416667,17.2,1450.0,1.0,1.36,867.0
BJ-OUI,6.38,2.13,27.0,950.0,1.0,1.5,1610.0
CN-IM-WARM,41.64,111.33,4.6,255.2,0.92,1.23,427.05
CN-HNR-NL,26.8,109.6,16.5,1200.0,1.0,1.23,395.0
IT-SCL-WBCT,37.5,13.5,15.9,552.0,1.0,1.04,288.35
US-HJA-CK,44.2416666675,-122.181666675,8.7,2370.0,1.0,0.82,832.0
CN-SD-CK,36.86225,116.917,13.15,575.25,1.0,1.52,756.4075
MW-ZOB-INT2,-15.5,35.25,24.0,930.0,1.0,1.44,5120.0
CN-SN-N90,35.2,107.68,10.0,528.5,1.0,1.3,423.0
US-HW-NAP100,20.89,-156.41,23.4,241.0,1.0,1.35,1208.15
CN-YN-MR,21.907,101.27,22.26,1166.0,1.0,1.07,675.0
KR-HWS-CK,35.48444444,127.9711111,12.9,1479.0,1.0,0.8,573.0
FR-HFH-H1,48.67,7.06,9.7,913.0,1.0,1.18,528.0
CN-TMF-S3,24.33,117.43,22.0,1859.0,1.0,1.0,1271.54
CN-SMY-SLH,38.77,110.37,8.4,437.0,0.67,1.38,378.43
UK-AHR-THIN7BYR3,51.15,-0.85,9.8,808.0,1.0,0.7,852.3
