realization_id,priestley_taylor_alpha-snow,priestley_taylor_alpha-transpiration,snowmelt_rate,snowmelt_degree_diff,perm_s3,perm_s4,perm_g1,perm_g4
51,0.5953124999999999,1.1859375,1.56265625,4.5625,-12.366215388637482,-11.667971658325914,-12.469062917381596,-13.59375
52,0.7078125,0.6234375,3.1039062500000005,4.0625,-12.616215388637482,-11.917971658325914,-13.219062917381596,-12.84375
53,1.1578125,1.0734374999999998,5.15890625,2.0625,-11.616215388637482,-10.917971658325914,-12.219062917381596,-13.84375
54,0.9328124999999998,0.3984375,2.07640625,3.0625,-11.116215388637482,-10.417971658325914,-12.719062917381596,-13.34375
55,0.4828125,0.8484375,4.13140625,1.0625,-12.116215388637482,-11.417971658325914,-11.719062917381596,-12.34375
56,0.4265624999999999,0.6796875,2.33328125,2.3125,-10.741215388637482,-11.792971658325914,-13.094062917381596,-12.96875
57,0.8765624999999999,1.1296875,4.38828125,4.3125,-11.741215388637482,-10.792971658325914,-12.094062917381596,-13.96875
58,1.1015625,0.4546874999999999,3.3607812500000005,1.3125,-12.241215388637482,-11.292971658325914,-12.594062917381596,-13.46875
59,0.6515624999999999,0.9046875,5.41578125,3.3125,-11.241215388637482,-12.292971658325914,-11.594062917381596,-12.46875
60,0.5390625,0.3421875,3.87453125,3.8125,-11.491215388637482,-11.542971658325914,-12.844062917381596,-13.21875
61,0.9890625,0.7921874999999999,1.8195312500000005,1.8125,-12.491215388637482,-10.542971658325914,-11.844062917381596,-12.21875
62,0.7640624999999999,0.5671875,4.90203125,4.8125,-11.991215388637482,-11.042971658325914,-13.344062917381596,-12.71875
63,0.3140624999999999,1.0171875,2.84703125,2.8125,-10.991215388637482,-12.042971658325914,-12.344062917381596,-13.71875
64,0.32109375,0.65859375,4.741484375000001,4.34375,-11.413090388637482,-11.433596658325914,-12.172187917381596,-13.578125
65,0.7710937499999999,1.1085937499999998,2.686484375,2.34375,-12.413090388637482,-10.433596658325914,-13.172187917381596,-12.578125
66,0.99609375,0.43359375,3.713984375,3.34375,-11.913090388637482,-10.933596658325914,-11.672187917381596,-12.078125
67,0.5460937499999999,0.88359375,1.6589843750000002,1.34375,-10.913090388637482,-11.933596658325914,-12.672187917381596,-13.078125
68,0.65859375,0.32109375,3.200234375,1.84375,-11.163090388637482,-11.683596658325914,-11.922187917381596,-12.328125
69,1.1085937499999998,0.7710937499999999,5.255234375000001,3.84375,-12.163090388637482,-10.683596658325914,-12.922187917381596,-13.328125
70,0.88359375,0.5460937499999999,2.172734375,2.84375,-12.663090388637482,-11.183596658325914,-12.422187917381596,-13.828125
71,0.43359375,0.99609375,4.227734375000001,4.84375,-11.663090388637482,-12.183596658325914,-13.422187917381596,-12.828125
72,0.4898437499999999,0.4898437499999999,1.915859375,3.59375,-12.288090388637482,-12.058596658325914,-11.797187917381596,-12.453125
73,0.93984375,0.93984375,3.970859375,1.59375,-11.288090388637482,-11.058596658325914,-12.797187917381596,-13.453125
74,1.16484375,0.71484375,2.943359375,4.59375,-10.788090388637482,-10.558596658325914,-12.297187917381596,-13.953125
75,0.71484375,1.16484375,4.998359375000001,2.59375,-11.788090388637482,-11.558596658325914,-13.297187917381596,-12.953125
76,0.60234375,0.60234375,3.4571093750000004,2.09375,-12.038090388637482,-12.308596658325914,-12.047187917381596,-13.703125
77,1.05234375,1.05234375,1.4021093750000002,4.09375,-11.038090388637482,-11.308596658325914,-13.047187917381596,-12.703125
78,0.82734375,0.37734375,4.484609375,1.09375,-11.538090388637482,-10.808596658325914,-11.547187917381596,-12.203125
79,0.37734375,0.82734375,2.429609375,3.09375,-12.538090388637482,-11.808596658325914,-12.547187917381596,-13.203125
80,0.40546875,0.40546875,4.099296875,2.96875,-10.850590388637482,-11.246096658325914,-13.234687917381596,-12.140625
81,0.85546875,0.85546875,2.044296875,4.96875,-11.850590388637482,-12.246096658325914,-12.234687917381596,-13.140625
82,1.08046875,0.6304687499999999,5.126796875,1.96875,-12.350590388637482,-11.746096658325914,-12.734687917381596,-13.640625
83,0.6304687499999999,1.08046875,3.0717968750000004,3.96875,-11.350590388637482,-10.746096658325914,-11.734687917381596,-12.640625
84,0.74296875,0.74296875,1.5305468750000002,3.46875,-11.600590388637482,-10.996096658325914,-12.984687917381596,-13.890625
85,1.19296875,1.19296875,3.5855468750000004,1.46875,-12.600590388637482,-11.996096658325914,-11.984687917381596,-12.890625
86,0.9679687499999998,0.51796875,2.5580468750000005,4.46875,-12.100590388637482,-11.496096658325914,-13.484687917381596,-12.390625
87,0.51796875,0.9679687499999998,4.613046875,2.46875,-11.100590388637482,-10.496096658325914,-12.484687917381596,-13.390625
88,0.4617187499999999,0.57421875,2.8149218750000005,1.21875,-11.725590388637482,-10.621096658325914,-12.859687917381596,-13.765625
89,0.91171875,1.02421875,4.869921875,3.21875,-10.725590388637482,-11.621096658325914,-11.859687917381596,-12.765625
90,1.13671875,0.3492187499999999,1.7874218750000002,2.21875,-11.225590388637482,-12.121096658325914,-13.359687917381596,-12.265625
91,0.6867187499999999,0.7992187499999999,3.842421875,4.21875,-12.225590388637482,-11.121096658325914,-12.359687917381596,-13.265625
92,0.57421875,0.4617187499999999,5.383671875,4.71875,-12.475590388637482,-10.371096658325914,-13.109687917381596,-12.015625
93,1.02421875,0.91171875,3.3286718750000004,2.71875,-11.475590388637482,-11.371096658325914,-12.109687917381596,-13.015625
94,0.7992187499999999,0.6867187499999999,4.356171875,3.71875,-10.975590388637482,-11.871096658325914,-12.609687917381596,-13.515625
95,0.3492187499999999,1.13671875,2.301171875,1.71875,-11.975590388637482,-10.871096658325914,-11.609687917381596,-12.515625
96,0.33515625,0.4195312499999999,3.007578125,2.40625,-11.694340388637482,-11.089846658325914,-12.703437917381596,-12.796875
97,0.78515625,0.8695312499999999,5.062578125,4.40625,-12.694340388637482,-12.089846658325914,-11.703437917381596,-13.796875
98,1.01015625,0.64453125,1.980078125,1.40625,-12.194340388637482,-11.589846658325914,-13.203437917381596,-13.296875
99,0.5601562499999999,1.09453125,4.035078125,3.40625,-11.194340388637482,-10.589846658325914,-12.203437917381596,-12.296875
100,0.67265625,0.53203125,4.548828125,3.90625,-10.944340388637482,-10.839846658325914,-13.453437917381596,-13.046875
